|8|	|18|
|4|	|49|
|2|	|–|
|2|	|2½|
|5|	|50|
|2|	|2½|
|5|	|50|
|10 .|	|2010 .|
|7|	|1978|
|39|	|739|
|5|	|105|
|L|	|NFL|
|0|	|30|
|ten|	|contenders|
|two|	|Westwood|
|wards|	|backwards|
|wards|	|backwards|
|2|	|2½|
|Polish and international artists a|	|Polish and international artists and|
|e Red Army|	|the Red Army|
|four|	|fourth|
|four|	|fourth|
|four|	|fourth|
|t in the student|	|excitement in the student|
|rich|	|richest|
|Victoria Constitution Act 185|	|Victoria Constitution Act 1855|
|gold rush|	|gold rushes|
|gold rush|	|gold rushes|
|562 to 1598|	|1562 to 1598|
|Australia|	|Australians|
|Australia|	|Australians|
|down|	|downward|
|down|	|downward|
|down|	|downward|
|The Earth ' s crust|	|The Earth ' s crustal|
|Israel|	|Israelis|
|Japan|	|Japanese|
|Japan|	|Japanese|
|Japan|	|Japanese|
|rst|	|first|
|ectrical fire|	|electrical fire|
|successful|	|successfully|
|success|	|successfully|
|success|	|successfully|
|Lowry Digital f|	|Lowry Digital for|
|7 , 000 , 000 square kilometres ( 2 , 70|	|000 , 000 square kilometres ( 2 , 700 , 000|
|y through the port ' s trade with Constantinople , and ports on the Black Sea|	|probably through the port ' s trade with Constantinople , and ports on the Black Sea|
|western Europe|	|western European|
|t to render certain laws ineffective , to cause their repeal , or to exert pressure to get one ' s political wishes on some other issue|	|effort to render certain laws ineffective , to cause their repeal , or to exert pressure to get one ' s political wishes on some other issue|
|have violated some specific laws , but I am guilty of doing no w|	|have violated some specific laws , but I am guilty of doing no wrong|
|have violated some specific laws , but I am guilty of doing no w|	|have violated some specific laws , but I am guilty of doing no wrong|
|tempted to enter the test site|	|attempted to enter the test site|
|Gan|	|Gandhi|
|h International Criminal Court trial dates in 2013 for both President Kenyatta and Deputy President William Ruto|	|With International Criminal Court trial dates in 2013 for both President Kenyatta and Deputy President William Ruto|
|ea , coffee , sisal , pyrethrum , corn , and wheat|	|Tea , coffee , sisal , pyrethrum , corn , and wheat|
|r 20 % to 25 %|	|20 % to 25 % of|
|onomist|	|economist|
|e a third group of pigments found in cyanobacteria|	|are a third group of pigments found in cyanobacteria|
|infinite|	|infinitely|
|s in the Swiss canton of Graubünden in the southeastern Swiss Alps ,|	|begins in the Swiss canton of Graubünden in the southeastern Swiss Alps ,|
|47 ° 39 ′ N 9 ° 19 ′ E ﻿ / ﻿ 47 . 650 ° N 9 . 317 ° E ﻿ / 47 . 650 ; 9 . 317 .|	|/ ﻿ 47 . 650 ° N 9 . 317 ° E ﻿ / 47 . 650 ; 9 . 317 .|
|47 ° 39 ′ N 9 ° 19 ′ E ﻿ / ﻿ 47 . 650 ° N 9 . 317 ° E ﻿ / 47 . 650 ; 9 . 317|	|/ ﻿ 47 . 650 ° N 9 . 317 ° E ﻿ / 47 . 650 ; 9 . 317 .|
|47 ° 39 ′ N 9 ° 19 ′ E ﻿ / ﻿ 47 . 650 ° N 9 . 317 ° E ﻿ / 47 . 650 ; 9 . 317|	|/ ﻿ 47 . 650 ° N 9 . 317 ° E ﻿ / 47 . 650 ; 9 . 317 .|
|Finsteraarhorn , t|	|Finsteraarhorn , the|
|March 200|	|March 2003|
|Japan|	|Japanese|
|Japan|	|Japanese|
|Japan|	|Japanese|
|Wesleyan theology s|	|Wesleyan theology stands|
|General Conference a|	|General Conference and|
|members of the International Association of Methodist - related Schools , Colleges , and Universities . The church operates three hundred sixty scho|	|members of the International Association of Methodist - related Schools , Colleges , and Universities . The church operates three hundred sixty schools|
|All clergy appointments a|	|All clergy appointments are|
|five - year course of s|	|five - year course of study|
|British failures in North America , combined with other failures in the Europe|	|British failures in North America , combined with other failures in the European|
|3 , 60|	|, 600 Frenchmen|
whole answer count 34726
wrong answer count 75
